Banco de México,
,
,
,
,
Fecha de consulta: 10/03/2024 09:35:42,
,
,
,
Título,"Valores gubernamentales Resultados de la subasta semanal, Monto asignado Cetes a 28 días"
Periodo disponible,04/01/1996 - 07/03/2024
Periodicidad,Diaria
Cifra,Sin tipo de Cifra
Unidad,Millones de Pesos
Base,
Aviso,
Tipo de información,
Fecha,SF43937
03/01/2019,"6,000"
10/01/2019,"6,000"
17/01/2019,"6,000"
24/01/2019,"5,000"
31/01/2019,"5,000"
07/02/2019,"5,000"
14/02/2019,"5,000"
21/02/2019,"5,000"
28/02/2019,"5,000"
07/03/2019,"5,000"
14/03/2019,"5,000"
21/03/2019,"5,000"
28/03/2019,"5,000"
04/04/2019,"5,000"
11/04/2019,"5,000"
17/04/2019,"5,000"
25/04/2019,"5,000"
02/05/2019,"5,000"
09/05/2019,"5,000"
16/05/2019,"5,000"
23/05/2019,"6,000"
30/05/2019,"7,000"
06/06/2019,"9,000"
13/06/2019,"8,000"
20/06/2019,"6,000"
27/06/2019,"6,000"
04/07/2019,"7,000"
11/07/2019,"7,000"
18/07/2019,"6,000"
25/07/2019,"6,000"
01/08/2019,"6,000"
08/08/2019,"6,000"
15/08/2019,"6,000"
22/08/2019,"6,000"
29/08/2019,"6,000"
05/09/2019,"6,000"
12/09/2019,"6,000"
19/09/2019,"6,000"
26/09/2019,"6,000"
03/10/2019,"6,000"
10/10/2019,"6,000"
17/10/2019,"6,000"
24/10/2019,"6,000"
31/10/2019,"6,000"
07/11/2019,"6,000"
14/11/2019,"6,000"
21/11/2019,"6,000"
28/11/2019,"6,000"
05/12/2019,"5,000"
11/12/2019,"5,000"
19/12/2019,"5,000"
26/12/2019,"6,000"
02/01/2020,"8,000"
09/01/2020,"11,000"
16/01/2020,"5,000"
23/01/2020,"5,000"
30/01/2020,"5,000"
06/02/2020,"5,000"
13/02/2020,"5,000"
20/02/2020,"5,000"
27/02/2020,"5,000"
05/03/2020,"5,000"
12/03/2020,"5,000"
19/03/2020,"6,000"
26/03/2020,"6,000"
02/04/2020,"6,000"
08/04/2020,"6,000"
16/04/2020,"6,000"
23/04/2020,"6,000"
30/04/2020,"6,000"
07/05/2020,"6,000"
14/05/2020,"6,000"
21/05/2020,"14,000"
28/05/2020,"14,000"
04/06/2020,"10,000"
11/06/2020,"5,000"
18/06/2020,"5,000"
25/06/2020,"5,000"
02/07/2020,"5,000"
09/07/2020,"5,000"
16/07/2020,"5,000"
23/07/2020,"5,000"
30/07/2020,"5,000"
06/08/2020,"5,000"
13/08/2020,"5,000"
20/08/2020,"5,000"
27/08/2020,"5,000"
03/09/2020,"5,000"
10/09/2020,"5,000"
17/09/2020,"5,000"
24/09/2020,"5,000"
01/10/2020,"5,000"
08/10/2020,"5,000"
15/10/2020,"5,000"
22/10/2020,"5,000"
29/10/2020,"5,000"
05/11/2020,"5,000"
12/11/2020,"5,000"
19/11/2020,"7,500"
26/11/2020,"7,500"
03/12/2020,"7,500"
10/12/2020,"5,000"
17/12/2020,"5,000"
24/12/2020,"5,000"
31/12/2020,"5,000"
07/01/2021,"5,000"
14/01/2021,"5,000"
21/01/2021,"5,000"
28/01/2021,"5,000"
